word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation,current_forms,current_readings,current_levels,jmdict_forms
暖まる,あたたまる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to warm up; to get warm,same-jmdict-entry,温まる,あたたまる,N2,あたたまる|あったまる|ぬくまる|暖まる|温まる
あぶる,あぶる,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,to scorch,same-jmdict-entry,炙る,あぶる,N2,あぶる|炙る|烘る|焙る
行き,いき,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,going,same-jmdict-entry,行き,ゆき,N3,いき|ゆき|往き|行き
いつのまにか,いつのまにか,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"before one knows,unnoticed,unawares",same-jmdict-entry,いつの間にか,いつのまにか,N3,いつのまにか|いつの間にか|何時の間にか
魚,うお,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,fish,same-jmdict-entry,魚,さかな,N5,うお|さかな|魚
うなる,うなる,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"to groan,to moan",same-jmdict-entry,唸る,うなる,N3,うなる|呻る|唸る
産む,うむ,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to give birth; to deliver; to produce,same-jmdict-entry,生む,うむ,N4,うむ|生む|産む
おつり,おつり,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"change from purchase, balance",same-jmdict-entry,お釣り,おつり,N3,おつり|お釣|お釣り|御釣|御釣り
お出掛け,おでかけ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,lexical,outing,same-jmdict-entry,お出かけ,おでかけ,N2,おでかけ|お出かけ|お出掛け|御出掛け
おまわりさん,おまわりさん,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,friendly term for policeman,same-jmdict-entry,お巡りさん,おまわりさん,N5,おまわりさん|お巡りさん|御巡りさん
お目に掛かる,おめにかかる,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,lexical,拜见,same-jmdict-entry,お目にかかる,おめにかかる,N3,おめにかかる|お目にかかる|お目に掛かる|御目にかかる|御目に掛かる
思い掛けない,おもいがけない,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,unexpected; casual,same-jmdict-entry,思いがけない,おもいがけない,N2,おもいがけない|思いがけない|思い掛けない|思い掛け無い
降ろす,おろす,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to take down; to launch; to drop,same-jmdict-entry,下ろす,おろす,N3,おろす|下す|下ろす|降ろす
