word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,current_levels,current_sources,match_type
愛,あい,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
挨拶,あいさつ,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt|waller,waller-derived,1,N4,runtime-core,exact
愛情,あいじょう,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
アイスクリーム,アイスクリーム,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
愛する,あいする,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
相手,あいて,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
アイデア,アイデア,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",waller,waller-derived,1,N4,runtime-core,exact
あいにく,あいにく,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
合間,あいま,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
アイロン,アイロン,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",waller,waller-derived,1,N2,runtime-core,exact
遭う,あう,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
アウト,アウト,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
赤ちゃん,あかちゃん,N4,"{""N1"": 1, ""N4"": 1}","{""community-independent"": ""N4"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
上がる,あがる,N4,"{""N1"": 1, ""N4"": 1}","{""community-independent"": ""N4"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N5,runtime-core,exact
明らか,あきらか,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
諦め,あきらめ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
あきれる,あきれる,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",waller,waller-derived,1,N1,advanced-bundle,exact
悪,あく,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,advanced-bundle,exact
開く,あく,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
