word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,example_meaning
とん,（1000,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,ton
(かさを～) さす,(かさを～) さす,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,撑（伞）
じゅうたん,（カーペット）,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",openjlpt,waller-derived,1,carpet
しいんと,（する）,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",openjlpt,waller-derived,1,silent (as the grave); (deathly) quiet
"(花を〜) 生ける, 活ける",(はなを～) いける,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,to arrange (flowers)
ミリ,（メートル）,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",openjlpt,waller-derived,1,milli-; 10^-3
だいいち,（副）,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",openjlpt,waller-derived,1,first; foremost; # 1
ふと,（副）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,suddenly; casually; accidentally
できる,（可能。出現。発生）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,to be able to; to be ready; to occur
うん,（感）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,fortune; luck
しまった,（感）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,Damn it!
すみません,（感）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,sorry; excuse me
ね,（感）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,value; price; cost
はい,（感）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,wear; put on (sword)
よろしく,（感）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,well; properly; suitably
どう,（接。副）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,child; servant; foolishness
それ,（接。感）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,it; that
しまい,（終わり）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,sisters
しまう,（終わる）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,to finish; to close; to do something completely
賛成,Uӣ[い,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,approval; agreement; support
～(て) しまう,～(て) しまう,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,to end up ~
～(に) ついて,～(に) ついて,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,"about, concerning"
