word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation_type,same_reading_current_forms,same_word_current_readings,jmdict_current_forms,jmdict_current_readings,jmdict_current_levels,jmdict_all_forms,jmdict_resolved,evidence_confidence,jmdict_exact_form_reading,jmdict_writing_common,jmdict_reading_common,jmdict_waller_levels,level_conflict_with_jmdict_waller,jmdict_tags,jmdict_pos,jmdict_gloss,quality_decision,priority,quality_reason,source_check_decision,source_check_reason,pinned_tc_meaning,publish_level,level_status
あびる,あびる,N5,"{""N5"": 1}","{""waller-derived"": ""N5""}",waller,waller-derived,1,kana/loanword,"to bathe, to shower",same-reading-different-writing|same-jmdict-entry,浴びる,,浴びる,あびる,N5,あびる|浴びる,yes,SINGLE_SOURCE,yes,yes,yes,N5,no,,v1:Ichidan verb|vt:transitive verb,to dash over oneself (e.g. water); to take (e.g. shower); to bask in (e.g. the sun); to bathe in; to be flooded with (e.g. light); to be covered in,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N5,estimated-source-backed
いちばん,いちばん,N5,"{""N5"": 1}","{""waller-derived"": ""N5""}",waller,waller-derived,1,kana/loanword,"best, first",same-reading-different-writing|same-jmdict-entry,一番,,一番,いちばん,N5,いちばん|一番|１番,yes,SINGLE_SOURCE,yes,yes,yes,N5,no,,adj-no:nouns which may take the genitive case particle 'no'|adv:adverb (fukushi)|n:noun (common) (futsuumeishi),number one; first; first place; best; most; game,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N5,estimated-source-backed
かかる,かかる,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,kana/loanword,"it takes (amount of time, money) (v.i.)",same-reading-different-writing|same-jmdict-entry,掛かる|架かる|罹[かか]る|罹る,,掛かる|罹る,かかる,N3|N5,かかる|懸かる|懸る|掛かる|掛る|罹る,yes,SINGLE_SOURCE,yes,yes,yes,N3|N5,no,uk:word usually written using kana alone | usu. ～にかかる,aux-v:auxiliary verb|v5r:Godan verb with 'ru' ending|vi:intransitive verb,"to take (a resource, e.g. time or money); to hang; to come into view; to arrive; to come under (a contract, a tax); to start (engines, motors); to contract (a disease); to suffer from",ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N5,estimated-source-backed
九,く,N5,"{""N5"": 1}","{""waller-derived"": ""N5""}",waller,waller-derived,1,lexical,Nine,same-reading-different-writing|same-writing-different-reading|same-jmdict-entry,区|句|苦,きゅう,ここ|この|九,きゅう|ここ|この,N5,きゅう|く|ここ|ここの|この|九|玖|９,yes,SINGLE_SOURCE,yes,yes,yes,N5,no,玖 is used in legal documents,num:numeric,nine; 9,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N5,estimated-source-backed
じゃあ,じゃあ,N5,"{""N5"": 1}","{""waller-derived"": ""N5""}",waller,waller-derived,1,kana/loanword,well then…,same-jmdict-entry,,,じゃ,じゃ,N5,じゃ|じゃあ,yes,SINGLE_SOURCE,yes,yes,yes,N5,no,from では,conj:conjunction,then; well; so; well then,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N5,estimated-source-backed
せっけん,せっけん,N5,"{""N5"": 1}","{""waller-derived"": ""N5""}",waller,waller-derived,1,kana/loanword,soap,same-reading-different-writing|same-jmdict-entry,席巻|接見|石けん|石鹸|石鹸[けん],,席巻|接見|石けん|石鹸,せっけん,N1|N3|N5,せっけん|席巻|席捲|接見|石けん|石鹸|石鹼,yes,SINGLE_SOURCE,yes,yes,yes,N5,no,,n:noun (common) (futsuumeishi)|vi:intransitive verb|vs:noun or participle which takes the aux. verb suru|vt:transitive verb,"soap; (official) audience; interview; reception; meeting with one's lawyer (while detained or imprisoned); sweeping (over, across); conquering; overwhelming",ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band; intended Traditional-Chinese learning sense explicitly pinned after source/JMdict comparison,肥皂,N5,estimated-source-backed
たて,たて,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,kana/loanword,长度; 高度,same-reading-different-writing|same-jmdict-entry,盾|縦,,盾|縦,たて,N1|N2,たて|タテ|楯|盾|竪|経|縦,yes,SINGLE_SOURCE,yes,yes,yes,N1|N5,no,,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi),the vertical; height; front-to-back; length; north-to-south; vertical (relationship); shield; buckler; escutcheon; pretext; excuse; grounds (for),ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band; intended Traditional-Chinese learning sense explicitly pinned after source/JMdict comparison,縱向；高度；長度,N5,estimated-source-backed
ちゃわん,ちゃわん,N5,"{""N5"": 1}","{""waller-derived"": ""N5""}",waller,waller-derived,1,kana/loanword,rice bowl,same-reading-different-writing|same-jmdict-entry,茶わん|茶碗|茶碗[わん],,茶わん|茶碗,ちゃわん,N1|N5,ちゃわん|茶わん|茶碗,yes,SINGLE_SOURCE,yes,yes,yes,N5,no,,n:noun (common) (futsuumeishi),rice bowl; tea cup; teacup,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N5,estimated-source-backed
つける,つける,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,kana/loanword,打开,same-reading-different-writing|same-jmdict-entry,付ける|就ける|漬ける|点[つ]ける|着ける,,付ける|漬ける|着ける,つける,N1|N2|N5,つける|ツケる|付ける|浸ける|漬ける|着ける|附ける,yes,SINGLE_SOURCE,yes,yes,yes,N2|N4|N5,no,after -masu stem of verb | uk:word usually written using kana alone | usu. ツケる,suf:suffix|v1:Ichidan verb|vt:transitive verb,"to soak (in); to steep; to dip; to dunk; to pickle; to preserve (in salt, vinegar, etc.); to attach; to join; to connect; to add; to append; to affix; to turn on; to switch on; to light up",ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band; intended Traditional-Chinese learning sense explicitly pinned after source/JMdict comparison,打開；開啟（燈、電器等）,N5,estimated-source-backed
毎月,まいげつ,N5,"{""N5"": 1}","{""waller-derived"": ""N5""}",waller,waller-derived,1,lexical,every month,same-writing-different-reading|same-jmdict-entry,,まいつき,毎月,まいつき,N5,まいげつ|まいつき|毎月,yes,SINGLE_SOURCE,yes,yes,yes,N5,no,,adv:adverb (fukushi)|n:noun (common) (futsuumeishi),every month; each month; monthly,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N5,estimated-source-backed
