source,family,level,count,error
openjlpt,waller-derived,N5,499,
openjlpt,waller-derived,N4,491,
openjlpt,waller-derived,N3,1567,
openjlpt,waller-derived,N2,1498,
openjlpt,waller-derived,N1,3183,
waller,waller-derived,N5,684,
waller,waller-derived,N4,640,
waller,waller-derived,N3,1730,
waller,waller-derived,N2,1812,
waller,waller-derived,N1,3427,
wordmaster,community-independent,N5,710,
wordmaster,community-independent,N4,676,
wordmaster,community-independent,N3,2246,
wordmaster,community-independent,N2,3636,
wordmaster,community-independent,N1,2931,
