key,reading,written,level
あいかわらず|あいかわらず,あいかわらず,あいかわらず,N2
あいそう|愛想,あいそう,愛想,N1
あいまい|あいまい,あいまい,あいまい,N2
あかがね|銅,あかがね,銅,N1
あかちゃん|あかちゃん,あかちゃん,あかちゃん,N4
あき|明き,あき,明き,N2
あざ|あざ,あざ,あざ,N1
あたたまる|暖まる,あたたまる,暖まる,N3
あたり|当り,あたり,当り,N3
あたりまえ|あたりまえ,あたりまえ,あたりまえ,N2
あつまる|集る,あつまる,集る,N4
あつらえる|あつらえる,あつらえる,あつらえる,N1
あてはまる|あてはまる,あてはまる,あてはまる,N2
あてはめる|あてはめる,あてはめる,あてはめる,N2
あなた|貴女,あなた,貴女,N1
あびる|あびる,あびる,あびる,N5
あぶる|あぶる,あぶる,あぶる,N2
あみもの|編物,あみもの,編物,N2
あめつち|天地,あめつち,天地,N1
あらわれ|現われ,あらわれ,現われ,N1
あらわれる|現われる,あらわれる,現われる,N1
ありさま|有り様,ありさま,有り様,N1
ある|在る,ある,在る,N5
あわてる|あわてる,あわてる,あわてる,N2
あんまり|余り,あんまり,余り,N1
いえぬし|家主,いえぬし,家主,N1
いがむ|歪む,いがむ,歪む,N1
いき|行き,いき,行き,N3
いきがい|域外,いきがい,域外,N1
いきがい|生き甲斐,いきがい,生き甲斐,N1
いけない|いけない,いけない,いけない,N3
いける|活ける,いける,活ける,N1
いしぶみ|碑,いしぶみ,碑,N1
いたって|いたって,いたって,いたって,N1
いちげん|一言,いちげん,一言,N1
いちじつ|一日,いちじつ,一日,N1
いちにん|一人,いちにん,一人,N1
いちばん|いちばん,いちばん,いちばん,N5
いっせい|一斉,いっせい,一斉,N2
いってらっしゃい|いってらっしゃい,いってらっしゃい,いってらっしゃい,N2
いってらっしゃい|行ってらっしゃい,いってらっしゃい,行ってらっしゃい,N2
いつのまにか|いつのまにか,いつのまにか,いつのまにか,N3
いつのまにか|何時の間にか,いつのまにか,何時の間にか,N1
いやらしい|いやらしい,いやらしい,いやらしい,N1
いやらしい|厭らしい,いやらしい,厭らしい,N1
いらっしゃい|いらっしゃい,いらっしゃい,いらっしゃい,N3
いりくち|入口,いりくち,入口,N1
いりぐち|入口,いりぐち,入口,N5
いる|煎る,いる,煎る,N2
いん|員,いん,員,N1
うお|魚,うお,魚,N3
うかがう|うかがう,うかがう,うかがう,N4
うがい|含嗽,うがい,含嗽,N1
うけとり|受取,うけとり,受取,N2
うけもち|受持ち,うけもち,受持ち,N1
うしろ|後,うしろ,後,N3
うずまる|埋まる,うずまる,埋まる,N1
うつろ|空ろ,うつろ,空ろ,N1
うなる|うなる,うなる,うなる,N3
うぬぼれ|うぬぼれ,うぬぼれ,うぬぼれ,N1
