reading	display	level	grade	status	basis	common	frequency_rank	entry_id	evidence
ああ	ああ	N5	A	direct	manual-secondary-exact	1	24915	1565440	"{""manual-secondary-exact"":""N5"",""core-deck-exact"":""N5"",""openjlpt-exact"":""N4"",""waller-exact"":""N4"",""existing-direct"":""N1"",""waller-entry-context"":""N1""}"
あう	会う	N5	A	direct	core+waller-lineage-corroborated	1	12169	1198180	"{""core-deck-exact"":""N5"",""openjlpt-exact"":""N5"",""waller-exact"":""N5"",""existing-direct"":""N5""}"
あお	青	N5	A	direct	core+waller-lineage-corroborated	1	1250	1381380	"{""core-deck-exact"":""N5"",""openjlpt-exact"":""N5"",""waller-exact"":""N5"",""existing-direct"":""N5"",""waller-entry-context"":""N5""}"
あおい	青い	N5	A	direct	core+waller-lineage-corroborated	1	11738	1381390	"{""core-deck-exact"":""N5"",""openjlpt-exact"":""N5"",""waller-exact"":""N5"",""existing-direct"":""N5"",""waller-entry-context"":""N5""}"
あか	赤	N5	A	direct	core+waller-lineage-corroborated	1	25627	2013900	"{""core-deck-exact"":""N5"",""openjlpt-exact"":""N5"",""waller-exact"":""N5"",""existing-direct"":""N5"",""waller-entry-context"":""N5""}"
あかい	赤い	N5	A	direct	core+waller-lineage-corroborated	1	7087	1383240	"{""core-deck-exact"":""N5"",""openjlpt-exact"":""N5"",""waller-exact"":""N5"",""existing-direct"":""N5"",""waller-entry-context"":""N5""}"
あかるい	明るい	N5	A	direct	independent-teacher-anchor	1	4320	1532350	"{""teacher-anchor"":""N5"",""manual-secondary-exact"":""N5"",""core-deck-exact"":""N5"",""openjlpt-exact"":""N1"",""waller-exact"":""N1"",""existing-direct"":""N5""}"
あがったり	上がったり	N5	D	estimated	model+frequency+world-distribution	1	712	1352180	{}
あがる	上がる	N5	A	direct	manual-secondary-exact	1	6085	1352290	"{""manual-secondary-exact"":""N5"",""core-deck-exact"":""N5"",""openjlpt-exact"":""N1"",""waller-exact"":""N1"",""existing-direct"":""N4""}"
あき	秋	N5	A	direct	core+waller-lineage-corroborated	1	230	1332650	"{""core-deck-exact"":""N5"",""openjlpt-exact"":""N5"",""waller-exact"":""N5"",""existing-direct"":""N5"",""waller-entry-context"":""N5""}"
