reading	display	level	grade	status	basis	common	frequency_rank	entry_id	evidence
あと	跡	N1	C	direct+conflict	core-exact-large-conflict-kept	1	1254	1383680	"{""core-deck-exact"":""N1"",""openjlpt-exact"":""N3"",""waller-exact"":""N3"",""existing-direct"":""N3"",""waller-entry-context"":""N3""}"
いえぬし	家主	N1	C	direct+conflict	runtime-exact-source-conflict	1	9307	1191990	"{""runtimeSources"":[""coverage_sourcecheck_manual""],""legacyLevel"":""N1"",""exactEvidence"":{""openjlpt"":""N1"",""waller"":""N1"",""tomoshi"":""N2""},""tomoshiEntryIds"":[""1191990""],""tomoshiAmbiguous"":false,""tomoshiLevelConflict"":[""N2""],""tomoshiLevelSources"":[""1191990:waller:N2""]}"
いじめる	いじめる	N1	C	direct+conflict	core-exact-large-conflict-kept	1	23717	1195140	"{""core-deck-exact"":""N1"",""openjlpt-exact"":""N4"",""waller-exact"":""N4"",""existing-direct"":""N4""}"
いたずら	いたずら	N1	C	direct+conflict	core-exact-large-conflict-kept	1	23574	1151580	"{""core-deck-exact"":""N1"",""openjlpt-exact"":""N3"",""existing-direct"":""N3"",""waller-entry-context"":""N3""}"
いっか	一家	N1	C	direct+conflict	core-exact-large-conflict-kept	1	1920	1575940	"{""core-deck-exact"":""N1"",""openjlpt-exact"":""N3"",""waller-exact"":""N3"",""existing-direct"":""N3"",""waller-entry-context"":""N3""}"
えんじょ	援助	N1	C	direct+conflict	core-exact-large-conflict-kept	1	22	1176660	"{""core-deck-exact"":""N1"",""openjlpt-exact"":""N3"",""waller-exact"":""N3"",""existing-direct"":""N3"",""waller-entry-context"":""N3""}"
えんぜつ	演説	N1	C	direct+conflict	core-exact-large-conflict-kept	1	520	1176960	"{""core-deck-exact"":""N1"",""openjlpt-exact"":""N3"",""waller-exact"":""N3"",""existing-direct"":""N3"",""waller-entry-context"":""N3""}"
おい	老い	N1	C	direct+conflict	core-exact-large-conflict-kept	1	6340	1643510	"{""core-deck-exact"":""N1"",""openjlpt-exact"":""N3"",""waller-exact"":""N3"",""existing-direct"":""N3"",""waller-entry-context"":""N3""}"
おおいに	大いに	N1	C	direct+conflict	core-exact-large-conflict-kept	1	2746	1412880	"{""core-deck-exact"":""N1"",""openjlpt-exact"":""N3"",""waller-exact"":""N3"",""existing-direct"":""N3"",""waller-entry-context"":""N3""}"
おやつ	お八つ	N1	C	direct+conflict	single-exact-over-existing-conflict	1	25106	1589430	"{""waller-exact"":""N1"",""existing-direct"":""N2""}"
